Date,Open,High,Low,Close,Volume,Amount,Returns,Ret_Lag_1,Ret_Lag_2,Ret_Lag_3,Ret_Lag_5,Ret_Lag_10,RSI_6,RSI_12,MACD_Diff,MACD_Dea,MACD_Hist,ATR,Body_Ratio,MA20,Bias_20,Next_Ret,Target
2024-11-29,395.0,402.8,395.0,398.0,156270,6222579200.0,-0.0050000000000000044,-0.006951340615690249,0.022854240731335684,-0.003542510121457454,-0.01717369970559368,-0.005949429846306309,40.04819034717219,41.592700496836635,-5.05694251202334,-4.275665707216201,-0.7812768048071392,10.880451482614218,0.38461538456607436,408.01000000000005,-0.024533712409009697,0.004522613065326642,0
2024-12-02,398.0,401.6,395.6,399.8,133344,5315344384.0,0.004522613065326642,-0.0050000000000000044,-0.006951340615690249,0.022854240731335684,-0.013479780329505808,0.007980049875311757,44.823452303553545,43.497925907501816,-4.907489849512729,-4.4020305356755065,-0.5054593138372221,10.531847805284631,0.29999999995000187,407.05,-0.017811079719936125,0.01150575287643818,1
2024-12-03,403.2,404.4,394.4,404.4,183626,7349822976.0,0.01150575287643818,0.004522613065326642,-0.0050000000000000044,-0.006951340615690249,-0.003542510121457454,0.004948045522018774,55.65531308298243,48.20788139203944,-4.367519930457263,-4.395128414631858,0.027608484174595382,10.493858676335728,0.11999999998799886,405.88,-0.003646397950133089,-0.0029673590504450953,0
2024-12-04,402.2,405.6,399.8,403.2,140532,5659584512.0,-0.0029673590504450953,0.01150575287643818,0.004522613065326642,-0.0050000000000000044,0.022854240731335684,0.011324470704086709,52.433068653639964,47.09076070676114,-3.990420763898612,-4.31418688448521,0.3237661205865976,10.158583056597463,0.17241379307372143,405.05,-0.00456733736575737,0.004960317460317443,0
2024-12-05,403.4,406.6,400.8,405.2,133148,5387437568.0,0.004960317460317443,-0.0029673590504450953,0.01150575287643818,0.004522613065326642,-0.006951340615690249,-0.007789678675754641,57.369389696843925,49.22984475761202,-3.489953658886577,-4.1493402393654835,0.6593865804789063,9.847255695411931,0.31034482753270054,403.89,0.003243457377008597,0.018262586377097767,1
2024-12-06,406.8,414.6,405.0,412.6,277114,11355635712.0,0.018262586377097767,0.004960317460317443,-0.0029673590504450953,0.01150575287643818,-0.0050000000000000044,-0.01717369970559368,70.8162804267995,56.352557343771316,-2.4677648597018447,-3.813025163432756,1.3452603037309112,9.82959457431108,0.6041666666037324,403.48,0.022603350847625665,0.015026660203586895,1
2024-12-09,406.2,421.2,406.2,418.8,224619,9280106496.0,0.015026660203586895,0.018262586377097767,0.004960317460317443,-0.0029673590504450953,0.004522613065326642,-0.013479780329505808,77.84299849444896,61.31330452575827,-1.1441951183496712,-3.279259154416139,2.135064036066468,10.198909247574575,0.8399999999440015,403.76000000000005,0.03724985139686933,-0.018147086914995225,-1
2024-12-10,430.0,431.0,410.4,411.2,302828,12685586432.0,-0.018147086914995225,0.015026660203586895,0.018262586377097767,0.004960317460317443,0.01150575287643818,-0.003542510121457454,57.483805984183434,53.22407954347161,-0.7004388239187165,-2.7634950883166547,2.063056264397938,10.94184430131925,-0.9126213591789986,404.13,0.017494370623314263,-0.003404669260700377,0
2024-12-11,414.8,415.0,407.2,409.8,130982,5375398400.0,-0.003404669260700377,-0.018147086914995225,0.015026660203586895,0.018262586377097767,-0.0029673590504450953,0.022854240731335684,54.34204829961702,51.849407830839816,-0.4564652163284677,-2.3020891139190174,1.8456238975905497,10.717426851225019,-0.6410256409434573,404.43,0.013277946739856104,0.014153245485602817,1
2024-12-12,414.0,422.8,409.2,415.6,234143,9764008960.0,0.014153245485602817,-0.003404669260700377,-0.018147086914995225,0.015026660203586895,0.004960317460317443,-0.006951340615690249,64.09724711467739,56.8824796993323,0.20256214251094207,-1.8011588626330255,2.0037210051439676,10.923324933280377,0.11764705881488037,405.04,0.0260714991111989,-0.013955726660250245,-1
2024-12-13,413.0,415.0,408.6,409.8,162961,6700157952.0,-0.013955726660250245,0.014153245485602817,-0.003404669260700377,-0.018147086914995225,0.018262586377097767,-0.0050000000000000044,51.01700204750544,51.06008559278316,0.2539076556470832,-1.3901455589770038,1.644053214624087,10.643087438046065,-0.499999999921875,405.48,0.010654039656703149,-0.010248901903367469,-1
2024-12-16,410.0,411.4,403.8,405.6,140598,5717888000.0,-0.010248901903367469,-0.013955726660250245,0.014153245485602817,-0.003404669260700377,0.015026660203586895,0.004522613065326642,43.33284474103067,47.24024632151035,-0.04380064780059456,-1.120876576741722,1.0770759289411274,10.425724049614201,-0.5789473683448749,405.55,0.00012328936012824898,-0.007396449704141994,-1
2024-12-17,402.0,408.0,401.8,402.6,167790,6775381504.0,-0.007396449704141994,-0.010248901903367469,-0.013955726660250245,0.014153245485602817,-0.018147086914995225,0.01150575287643818,38.37813326450278,44.63811096609096,-0.5158649807263487,-0.9998742575386473,0.48400927681229866,10.1238866174989,0.0967741935327822,405.37,-0.0068332634383402365,0.008445106805762492,1
2024-12-18,408.0,408.8,404.0,406.0,149061,6055023104.0,0.008445106805762492,-0.007396449704141994,-0.010248901903367469,-0.013955726660250245,-0.003404669260700377,-0.0029673590504450953,46.67098068000843,48.16800659880887,-0.60861207939206,-0.92162182190933,0.31300974251727,9.843609001963264,-0.4166666665798601,405.13,0.0021474588403722376,0.022660098522167438,1
2024-12-19,402.2,422.0,401.4,415.2,346712,14310456320.0,0.022660098522167438,0.008445106805762492,-0.007396449704141994,-0.010248901903367469,0.014153245485602817,0.004960317460317443,62.888059922646,56.37817820756321,0.05956169891146601,-0.7253851177451708,0.7849468166566368,10.611922644680176,0.6310679611344134,405.51000000000005,0.023895834874602204,0.026974951830443183,1
2024-12-20,414.2,429.8,414.2,426.4,448340,19091460096.0,0.026974951830443183,0.022660098522167438,0.008445106805762492,-0.007396449704141994,-0.013955726660250245,0.018262586377097767,74.3035327284376,63.95977340103955,1.4758282010133712,-0.28514245399346233,1.7609706550068336,10.968213884345879,0.7820512820011487,406.8,0.04818092428711889,-0.01454033771106944,-1
2024-12-23,430.6,431.0,416.2,420.2,208562,8789977088.0,-0.01454033771106944,0.026974951830443183,0.022660098522167438,0.008445106805762492,-0.010248901903367469,0.015026660203586895,61.696914438982056,57.884304017537644,2.0740332587740227,0.1866926885600347,1.887340570213988,11.241912892606887,-0.7027027026552245,408.05,0.029775762774169774,-0.0004759638267491928,0
2024-12-24,421.0,421.6,417.6,420.0,78738,3304033792.0,-0.0004759638267491928,-0.01454033771106944,0.026974951830443183,0.022660098522167438,-0.007396449704141994,-0.018147086914995225,61.29435577540083,57.69145772237045,2.5031223124751136,0.6499786133430505,1.8531436991320631,10.724633400277824,-0.2499999999375,409.36,0.02599179206566344,-0.006190476190476191,-1
2024-12-27,417.6,421.0,415.6,417.4,135451,5658808320.0,-0.006190476190476191,-0.0004759638267491928,-0.01454033771106944,0.026974951830443183,0.008445106805762492,-0.003404669260700377,55.63178875256766,55.088636034162455,2.603370177198485,1.0406569261141376,1.5627132510843476,10.34430244311512,-0.0370370370301869,410.09,0.0178253554097881,0.003833253473886078,0
